Squad,Tier,PriorAttack,PriorDefense,Basis
Liverpool,Elite,1.35,0.75,"2024-25 champions; deep, expensively-assembled squad"
Arsenal,Elite,1.35,0.75,"2024-25 runners-up; multiple recent top-2 finishes"
Manchester City,Elite,1.35,0.75,"2024-25 3rd; sustained dominance through early 2020s"
Chelsea,Elite,1.30,0.78,"2024-25 4th; heavy squad investment, Champions League squad"
Newcastle,Strong,1.15,0.90,"2024-25 5th, League Cup winners; established top-6 push"
Aston Villa,Strong,1.15,0.90,"2024-25 6th; regular European qualification"
Brighton,Strong,1.15,0.90,"Consistent top-half finisher, strong recruitment model"
Tottenham,Strong,1.15,0.90,"Historically top-6 squad quality despite inconsistent finishes"
Nottingham,Mid-Upper,1.05,0.98,"2024-25 7th, surprise European-chasing campaign"
Bournemouth,Mid-Upper,1.05,0.98,"2024-25 9th; steady progression under recent ownership"
Brentford,Mid-Upper,1.05,0.98,"2024-25 10th; well-run mid-table regular"
Manchester Utd,Mid-Upper,1.05,0.98,"Historically elite squad depth despite recent underperformance"
Fulham,Mid,1.00,1.00,"2024-25 11th; established comfortable mid-table club"
Crystal Palace,Mid,1.00,1.00,"2024-25 12th; long-standing top-flight mid-table side"
Everton,Mid,1.00,1.00,"2024-25 13th; ever-present top-flight club"
Leeds United,Lower/Promoted,0.75,1.30,"Promoted into the top flight; limited recent top-flight data"
Sunderland,Lower/Promoted,0.75,1.30,"Promoted into the top flight; limited recent top-flight data"
Ipswich Town,Lower/Promoted,0.75,1.30,"Newly promoted; historically a lower-tier top-flight side"
Hull City,Lower/Promoted,0.70,1.35,"Promoted; minimal recent top-flight pedigree"
Coventry City,Lower/Promoted,0.70,1.35,"Promoted; minimal recent top-flight pedigree"
